data_sprzedazy,region,sprzedawca,produkt,ilosc,cena_jednostkowa,wartosc
2025-01-21,Pomorskie,Wisniewski,Chipsy paprykowe 150g,-112,6.99,782.88
2025-01-10,Pomorskie,Lewandowska,Baton czekoladowy 50g,60,2.99,179.4
2025-01-11,Mazowieckie,Wisniewski,Chipsy paprykowe 150g,101,6.99,705.99
2025-01-14,Wielkopolska,,Baton czekoladowy 50g,65,2.99,194.35
2025-01-02,Mazowieckie,Wojcik,Piwo jasne 0.5L,9,4.29,38.61
2025-01-25,Pomorskie,Nowak,Sok pomaranczowy 1L,110,5.49,603.9
2025-01-07,Mazowieckie,Lewandowska,Woda gazowana 1.5L,37,2.49,92.13
2025-01-07,Dolnoslaskie,  Wisniewski ,Woda  gazowana 1.5L,90,2.49,224.1
2025-01-18,Mazowieckie,Wisniewski,Woda gazowana 1.5L,96,2.49,239.04
2025-01-02,Malopolska,Wisniewski,Sok pomaranczowy 1L,22,5.49,120.78
2025-01-19,Dolnoslaskie,,Baton czekoladowy 50g,60,"2,99",179.4
2025-01-21,Malopolska,  Lewandowska ,Woda gazowana 1.5L,117,2.49,338.95
2025-01-21,Malopolska,Nowak,Chipsy paprykowe 150g,-104,6.99,726.96
2025-01-24,Dolnoslaskie,Wisniewski,Woda gazowana 1.5L,83,2.49,206.67
2025-01-24,Malopolska,Kowalski,Woda gazowana 1.5L,9,2.49,25.25
2025-01-22,Mazowieckie,Wisniewski,Woda gazowana 1.5L,80,2.49,199.2
2025-01-15,Malopolska,Kowalski,Sok pomaranczowy 1L,67,"5,49",367.83
2025-01-17,Pomorskie,Wojcik,Piwo jasne 0.5L,39,4.29,167.31
2025-01-17,Dolnoslaskie,Kowalski,Sok pomaranczowy 1L,70,5.49,384.3
2025-01-03,POMORSKIE,Kowalski,Chipsy paprykowe 150g,97,6.99,678.03
2025-01-13,Malopolska,  Kowalski ,Chipsy paprykowe 150g,13,"6,99",90.87
2025-01-03,Malopolska,Wojcik,Chipsy paprykowe  150g,-70,6.99,489.3
2025-01-05,Dolnoslaskie,Kowalski,Sok pomaranczowy 1L,96,5.49,527.04
2025-01-04,Mazowieckie,Wisniewski,Piwo jasne 0.5L,36,4.29,154.44
2025-01-14,Wielkopolska,Wisniewski,Baton czekoladowy 50g,73,2.99,218.27
2025-01-07,Pomorskie,Wojcik,Woda gazowana 1.5L,77,"2,49",191.73
2025-01-23,Dolnoslaskie,Nowak,Chipsy paprykowe 150g,85,6.99,594.15
2025-01-24,Pomorskie,Lewandowska,Sok pomaranczowy 1L,74,5.49,406.26
2025-01-17,Mazowieckie,Wisniewski,Chipsy paprykowe 150g,15,6.99,104.85
2025-01-26,Malopolska,Nowak,Baton czekoladowy 50g,12,2.99,35.88
2025-01-18,Dolnoslaskie,Wisniewski,Piwo jasne 0.5L,63,4.29,270.27
2025-01-04,Malopolska,Nowak,Baton czekoladowy 50g,114,2.99,340.86
